epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,6278.2,0.99866,0.58071,1.04878,0.87789,0.79912,0.83425,0.39742,1.87543,0.83139,1.6804,0.00105448,0.00105448,0.00105448
160,6317.44,0.99874,0.59073,1.05673,0.87569,0.82288,0.85027,0.41531,1.84203,0.86891,1.67305,0.00105324,0.00105324,0.00105324
161,6353.9,0.98679,0.57331,1.04004,0.87093,0.79828,0.83026,0.41121,1.88687,0.88335,1.69353,0.001052,0.001052,0.001052
162,6392.87,1.01769,0.59267,1.0678,0.88315,0.79074,0.82671,0.39951,1.8618,0.84243,1.66463,0.00105076,0.00105076,0.00105076
163,6430.82,0.97808,0.56683,1.04193,0.90063,0.76737,0.82781,0.41152,1.83991,0.83212,1.6579,0.00104952,0.00104952,0.00104952
164,6469.13,1.01401,0.58247,1.05122,0.86812,0.81074,0.83705,0.40471,1.88965,0.84032,1.68668,0.00104829,0.00104829,0.00104829
165,6505.85,0.99864,0.58558,1.05567,0.90456,0.764,0.83384,0.41178,1.83806,0.82529,1.66428,0.00104705,0.00104705,0.00104705
166,6545.09,0.99512,0.59183,1.05491,0.89617,0.80674,0.83263,0.40162,1.81952,0.80125,1.60959,0.00104581,0.00104581,0.00104581
167,6582.82,1.02606,0.60381,1.06776,0.89098,0.80887,0.84749,0.40378,1.89626,0.85559,1.67432,0.00104458,0.00104458,0.00104458
168,6621.67,0.99517,0.57786,1.04903,0.88005,0.79496,0.82486,0.39901,1.939,0.86,1.70155,0.00104334,0.00104334,0.00104334
169,6659.75,1.00737,0.57792,1.05449,0.83141,0.81295,0.82489,0.4063,1.90731,0.84445,1.65732,0.0010421,0.0010421,0.0010421
170,6699.59,0.99733,0.59902,1.05897,0.90334,0.78465,0.8372,0.41539,1.88885,0.79397,1.66789,0.00104086,0.00104086,0.00104086
171,6738.57,1.02329,0.59309,1.06415,0.84916,0.80949,0.84134,0.40533,1.85215,0.8497,1.67156,0.00103962,0.00103962,0.00103962
172,6779.6,0.95408,0.56495,1.04037,0.8647,0.79583,0.82909,0.41334,1.84806,0.8127,1.6977,0.00103839,0.00103839,0.00103839
173,6819.22,0.9827,0.57214,1.04537,0.88378,0.77905,0.83501,0.41605,1.88787,0.81947,1.67893,0.00103715,0.00103715,0.00103715
174,6860.36,0.97083,0.56985,1.04553,0.87347,0.78831,0.8294,0.40801,1.8876,0.90854,1.68425,0.00103591,0.00103591,0.00103591
175,6902.26,0.964,0.56641,1.03589,0.88078,0.76992,0.81026,0.40228,1.90602,0.93719,1.70593,0.00103468,0.00103468,0.00103468
176,6943.07,0.96585,0.57102,1.03853,0.88303,0.81306,0.83782,0.41916,1.85481,0.81011,1.6784,0.00103344,0.00103344,0.00103344
